ข้อมูลสถานี TP04,,,,,,,,,,,,,,,,,,
หน่วยงาน สคพ.14,,,,,,,,,,,,,,,,,,
วันที่,pH,DO (mg/l),BOD (mg/l),TCB (MPN/100mL),FCB (MPN/100mL),TP (mg/l),NO3-N (mg/l),NO2-N (mg/l),NH3-N (mg/l),TKN (mg/l),WQI,SS (mg/l),TS (mg/l),TDS (mg/l),WT (°C),AT (°C),EC (µS/cm),Tur (NTU)
21/02/2554 14:20,7.7,5,1.9,490,330,0.08,,,0.16,,69,68,150,82,30.1,32.3,113,18
23/05/2554 14:20,7.6,5.8,1.3,"3,500",490,0.1,<0.10,<0.01,0.03,,82,33,94,61,32.4,36.7,110,15
08/08/2554 13:40,7.2,7.3,1,"1,700",790,0.03,0.13,<0.01,<0.05,,86,11,93,82,31.5,34.7,0.13,15
14/12/2554 13:30,7.8,4.5,1.6,"2,400",790,0.05,0.27,0.03,0.08,,67,14,89,75,31.6,33.4,140,15
21/05/2555 13:00,7.8,5.8,1.3,"9,200","2,400",0.06,0.76,<0.01,<0.05,,65,24,87,63,30.8,33.5,120*,15
03/09/2555 12:10,7.2,6,0.6,"9,200",490,0.03,0.74,<0.01,<0.05,,72,16,75,59,28.3,31.4,80,34
11/12/2555 15:15,7.3,5.1,1.8,"9,200",790,0.03,0.97,0.01,<0.05,,64,11,72,61,28,30,70,10
06/02/2557 12:10,8.4,6.2,2.2,"5,400",230,0.6,2.95,0.02,<0.05,,63,20,100,80,27.8,31,,
29/05/2557 13:40,7.7,3.5,3,"3,500","3,500",0.05,3.26,0.09,0.76,,60,36,121,85,33,35.2,100,40
07/08/2557 13:30,7.2,6.8,1.3,"9,200","3,500",0.04,0.01,0.05,<0.05,,66,64,122,58,27,31,95,80
25/12/2557 13:30,7.6,5.1,1.6,"5,400",490,0.01,0.57,0.01,<0.05,,67,15,105,90,25.5,27,83,20
19/02/2558 13:30,8.3,5.2,1.3,"1,100",490,0.02,2.39,<0.01,<0.05,,83,<10,68,60,29.9,34,84,18
21/05/2558 12:15,7.6,7.4,0.7,"2,800","1,400",0.25,0.1,0.02,<0.05,,74,88,162,74,30.9,36.2,106,106
19/08/2558 14:20,7.7,6.1,1.7,"9,200","1,700",<0.01,0.15,0.02,<0.05,,64,15,82,67,30.8,35,75,32
24/12/2558 12:10,6.9,9.4,2.6,"1,700",700,<0.01,0.35,0.05,<0.05,,59,<10,70,62,31.3,34.1,80,26
18/02/2559 13:00,7.8,7.4,3,"5,400",230,0.04,<0.01,<0.01,<0.05,,63,<10,87,79,32.4,41.5,99,22
08/04/2559 12:45,7.3,6.2,0.3,"9,200",790,0.04,0.16,0.01,<0.05,,71,14,62,48,30.1,32.4,75,26
01/12/2559 13:55,7.7,6.8,1.4,"3,500",170,<0.01,<0.002,<0.01,<0.05,,84,<10,56,48,29.2,32,84,30
05/12/2559 11:45,8.3,6.3,0.7,"1,700",790,<0.01,<0.01,<0.01,<0.05,,84,9,57,48,34.9,42,86,27
09/02/2560 12:20,7.9,7.8,2.9,"5,400",490,<0.01,<0.002,<0.01,<0.05,,63,15,91,76,32.2,37,97,42
25/05/2560 12:30,7.3,4.8,0.7,"2,200","1,300",0.02,0.13,<0.01,<0.05,,71,21,60,39,28.8,31,80,45
20/07/2560 12:40,8,5.4,3.4,"9,200",790,0.05,0.18,<0.01,<0.05,,60,19,55,36,32.2,33.4,74,34
09/11/2560 13:50,7.1,6.4,1.5,"9,200","5,400",0.02,0.19,<0.01,<0.10,,58,17,92,75,29,32,131,52
15/02/2561 11:50,7.1,6.9,1.2,"1,700",460,0.06,0.07,<0.01,<0.10,,84,11,78,67,30,33.5,109,36
10/05/2561 13:40,7.4,5.3,1.2,"5,400",78,<0.05,0.34,<0.01,<0.10,,70,38,141,103,30.9,37.8,130,145
12/07/2561 13:40,7.5,6.9,1.4,"16,000",490,<0.05,0.28,0.01,0.13,,67,63,118,55,26,30.6,81,190
22/11/2561 13:30,7.7,7.1,1,"9,200","3,500",0.1,0.33,0.01,<0.10,,67,57,106,49,26,32,137,110
14/02/2562 12:00,7.3,6.1,1.4,"2,400",110,0.06,0.23,<0.01,<0.1,,83,18,83,65,29.9,35.8,136,20
16/05/2562 13:35,7.1,6.3,0.8,"5,400","5,400",<0.05,0.28,<0.01,0.21,,58,17,74,57,29,30.5,131,15
05/08/2562 13:20,7.5,6.7,1.4,"54,000","35,000",0.05,0.24,<0.01,0.12,,59,24,89,65,28.5,27,105,61
09/01/2563 10:25,6.9,6.6,2,790,130,<0.05,0.18,<0.01,<0.5,,68,15,71,56,29,34,145,13
17/02/2563 11:50,7.2,4.9,1.4,"1,300",140,0.09,0.1,<0.01,<0.5,,68,19,74,55,29.5,35,87,8
09/06/2563 9:55,7.6,6.5,0.8,"3,500","3,500",0.07,0.28,0.01,<0.06,,69,70,148,78,28,29,129.4,43
21/07/2563 11:00,7,5.3,1.1,"5,400","3,500",0.07,0.15,<0.01,<0.06,,65,26,100,74,30,34,180.9,43
02/12/2563 13:40,7.6,6,1.6,"24,000","3,500",0.15,0.25,0.03,<0.06,,56,175,260,85,24,23,138.2,321
16/02/2564 11:30,8.6,6.2,1.6,"5,400",700,0.28,0.11,0.01,<0.06,,67,<10,93,83,29.3,32,179,10
18/05/2564 11:50,6.1,4.7,0.6,"16,000","2,200",0.05,0.27,<0.01,<0.06,,65,74,171,97,29.9,30.5,142,239
13/07/2564 10:43,7.8,6.6,0.8,"5,400",700,0.05,0.52,0.01,<0.06,,71,35,99,64,27.6,30,102,36
23/11/2564 10:25,6.8,7,1.5,"3,500",490,<0.05,0.27,<0.01,<0.06,,83,78,171,93,27.6,34.6,156,121
