ข้อมูลสถานี TP04,,,,,,,,,,,,
หน่วยงาน สคพ.14,,,,,,,,,,,,
time,HARD (mg/l),Fe (mg/l),Cd (µg/l),Cr (µg/l),Mn (mg/l),Ni (µg/l),Pb (µg/l),Zn (mg/l),Cu (µg/l),Hg (µg/l),As (µg/l),Cn (µg/l)
21/02/2554 14:20,55,,,,0.1,,,0.35,0.02,,,
23/05/2554 14:20,45,,,,,,,,,,,
08/08/2554 13:40,54,,,,,,,,,,,
14/12/2554 13:30,58,,,,,,,,,,,
21/05/2555 13:00,44.4,,ND,6,0.12,<4.0,5,0.18,30,<0.5,1.2,
03/09/2555 12:10,39.7,,,,,<4.0,,,,<0.5,1.2,
11/12/2555 15:15,45.6,,<0.5,<0.7,0.06,,<5,0.26,160,,,
06/02/2557 12:10,53.9,1.4,1.1,<10,<0.10,<10,13,<0.10,<10,<0.5,<10,
29/05/2557 13:40,52.6,,2.8,<10,<0.10,<10,<10,<0.10,<10,,,
07/08/2557 13:30,29.3,3.4,4.1,<10,<0.10,<10,43,<0.10,<10,<0.50,<10,
25/12/2557 13:30,55.2,1.24,<3,5,0.09,<10,<10,0.32,<3,<0.5,<10,
19/02/2558 13:30,35.6,0.94,<3,<4,0.05,<10,<10,<0.05,<3,0.5,<10,
21/05/2558 12:15,52,3.18,<3,5,0.04,<10,<10,0.11,<3,<0.5,<10,
19/08/2558 14:20,38,1.19,<3,<4,0.04,10,<10,<0.05,<3,0.8,<10,
24/12/2558 12:10,38,0.93,<3,<4,0.08,<10,<10,<0.05,3,<0.5,<10,
18/02/2559 13:00,52,0.72,<3,<4,0.05,<10,<10,<0.05,<3,1.4,<10,
08/04/2559 12:45,60,1.76,<3,<4,0.06,<10,<10,<0.05,<3,<0.50,<10,
01/12/2559 13:55,43,0.84,<3,<4,0.07,10,<10,0.08,<3,0.6,<10,
05/12/2559 11:45,38,1.18,<3,<4,0.06,<100,<50,<0.05,<3,<0.50,<10,
09/02/2560 12:20,52,1.07,<3,<4,0.08,10,<10,<0.05,<3,1.6,<10,
25/05/2560 12:30,39,1.61,<3,<4,0.1,10,<10,<0.05,<3,<0.5,<10,
20/07/2560 12:40,35,1.36,<3,<4,0.06,50,<10,<0.05,<3,,<10,
09/11/2560 13:50,57,0.93,<3,<4,0.08,<10,<10,<0.05,3,<0.5,<10,
15/02/2561 11:50,45,1.17,<3,<4,0.07,<10,<10,<0.05,<3,1.7,<10,
10/05/2561 13:40,53,3.07,<3,<4,0.1,<10,<10,0.08,<3,<0.5,<10,
12/07/2561 13:40,34,3.84,<3,4,0.11,<10,<10,<0.05,<3,<0.5,<10,
22/11/2561 13:30,46,4.11,<3,4,0.1,<10,<10,<0.05,<3,1,<10,
14/02/2562 12:00,42,1.03,<3,<4,0.07,10,<10,<0.05,<3,0.7,<10,
16/05/2562 13:35,12,1.37,<3,<4,0.06,<10,<10,<0.05,<3,0.6,<10,
05/08/2562 13:20,37,1.16,<3,<4,0.06,<10,<10,<0.05,<3,<0.5,<10,
09/01/2563 10:25,38,1.34,<3,<4,0.09,<10,<10,<0.05,<3,<0.5,<10,
17/02/2563 11:50,39,1.73,<3,<4,0.08,<10,<10,<0.05,<3,<0.5,<10,
09/06/2563 9:55,59,4.11,<3,4,0.15,<10,<10,<0.05,<3,<0.5,<10,
21/07/2563 11:00,56,2.23,<3,<4,0.07,<10,<10,<0.05,<3,<0.5,<10,
02/12/2563 13:40,28,10.03,<3,<10,0.21,20,20,<0.05,<3,<0.5,<10,
16/02/2564 11:30,62,1.1,<3,<4,0.11,<10,<10,<0.05,<3,<0.5,<10,
18/05/2564 11:50,33,4.27,<3,8,0.07,<10,<10,<0.05,4,<0.5,<10,
13/07/2564 10:43,35,2.28,<3,4,0.09,<10,<10,<0.05,<3,<0.5,<10,
23/11/2564 10:25,51,4.08,<3,4,0.06,<10,<10,<0.05,<20,<0.5,<10,
